time,demands,vehicles,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage
2017-01-01T13:00:00.000Z,31.0,2,0.188444386562,8,28,0,28,14,2.60367647059,0.278453263822,0.508637531204,0.04826899644,0.460368534764,0.387096774194
2017-01-01T13:00:00.000Z,31.0,3,0.234689783607,10,23,0,23,26,0.480459770115,0.0852638013586,0.140335904244,0.0439216879692,0.0964142162749,0.41935483871
2017-01-01T13:00:00.000Z,31.0,4,0.287301334762,4,6,0,6,17,0.999053030303,0.101367944068,0.224319902061,0.0214758674904,0.202844034571,0.451612903226
2017-01-01T13:00:00.000Z,31.0,5,0.369489924589,4,9,0,9,16,0.733240740741,0.0565886469946,0.0967110501366,0.0166045301832,0.0801065199534,0.387096774194
2017-01-01T13:00:00.000Z,31.0,6,0.414647560816,2,5,0,5,10,0.473245614035,0.0478502834696,0.144320306657,0.00664238403644,0.13767792262,0.322580645161
2017-01-01T13:00:00.000Z,31.0,9,0.865940610466,3,10,0,10,20,0.751459587666,0.0758496156415,0.378724742442,0.0,0.378724742442,0.451612903226
2017-01-01T13:00:00.000Z,31.0,10,0.894659730664,2,6,0,6,21,0.522699829932,0.0571246168628,0.248665396532,0.0,0.248665396532,0.451612903226
2017-01-01T13:00:00.000Z,31.0,7,0.524578440875,2,6,0,6,14,0.698145071982,0.0552550475343,0.185619672952,0.0,0.185619672952,0.41935483871
2017-01-01T13:00:00.000Z,31.0,8,0.789486108302,3,11,1,10,17,0.747358630952,0.0823959742781,0.260688889476,0.0,0.260688889476,0.58064516129
2017-01-01T13:00:00.000Z,36.0,2,0.173285964703,14,29,0,29,20,2.35546875,0.306578170059,0.429897929315,0.183258410803,0.246639518512,0.444444444444
2017-01-01T13:00:00.000Z,36.0,3,0.274018362591,7,12,0,12,15,0.705128205128,0.149935576876,0.293874105481,0.0,0.293874105481,0.361111111111
2017-01-01T13:00:00.000Z,36.0,4,0.380060278255,6,12,0,12,11,1.320625,0.134202462777,0.277219857145,0.0,0.277219857145,0.416666666667
2017-01-01T13:00:00.000Z,36.0,5,0.476578899824,13,17,0,17,24,0.444861111111,0.0387580389749,0.0763783537972,0.0016095137642,0.074768840033,0.333333333333
2017-01-01T13:00:00.000Z,36.0,6,0.252455479564,5,15,0,15,12,0.664814814815,0.0323382524638,0.0821790595246,0.0,0.0821790595246,0.472222222222
2017-01-01T13:00:00.000Z,36.0,9,0.834491290332,4,17,0,17,13,0.206349206349,0.0243716776224,0.186011765269,0.0,0.186011765269,0.305555555556
2017-01-01T13:00:00.000Z,36.0,10,0.732976015987,4,10,1,9,16,0.75755952381,0.0791179352475,0.231001189229,0.0,0.231001189229,0.416666666667
2017-01-01T13:00:00.000Z,40.0,2,0.162104294245,26,27,0,27,52,1.98,0.204283965642,0.265408651399,0.143159279884,0.122249371515,0.225
2017-01-01T13:00:00.000Z,40.0,3,0.275877851005,32,48,1,47,58,1.53888888889,0.150361233735,0.177019179719,0.117032791523,0.0599863881953,0.3
2017-01-01T13:00:00.000Z,40.0,4,0.313114705039,5,13,0,13,18,1.10321969697,0.138743726247,0.19902862883,0.0621758578623,0.136852770967,0.3
2017-01-01T13:00:00.000Z,40.0,6,0.513114705039,13,13,0,13,18,1.10321969697,0.138743726247,0.19902862883,0.0621758578623,0.136852770967,0.3
2017-01-01T13:00:00.000Z,40.0,5,0.455973693233,16,22,0,22,45,1.0545751634,0.115749936353,0.237618169981,0.0,0.237618169981,0.4
2017-01-01T13:00:00.000Z,46.0,10,0.645312709199,5,17,0,17,20,0.571333333333,0.0189504851234,0.120350401316,0.0,0.120350401316,0.195652173913
2017-01-01T13:00:00.000Z,46.0,9,0.828185015029,5,18,0,18,19,1.73961528114,0.168761466816,0.403867778642,0.0,0.403867778642,0.391304347826
2017-01-01T13:00:00.000Z,46.0,8,0.673129219355,6,16,0,16,26,2.28626144689,0.213268577585,0.453473324265,0.0258023038715,0.427671020394,0.391304347826
2017-01-01T13:00:00.000Z,46.0,7,0.599630745124,5,12,0,12,19,0.784815813118,0.0762556036476,0.258607818741,0.0,0.258607818741,0.217391304348
2017-01-01T13:00:00.000Z,46.0,6,0.571654622229,7,13,0,13,22,1.86699623352,0.18900577972,0.333825357917,0.0581559236379,0.275669434279,0.347826086957
2017-01-01T13:00:00.000Z,46.0,5,0.397094947866,3,10,0,10,18,1.87544871795,0.196209831602,0.615380059028,0.0,0.615380059028,0.304347826087
2017-01-01T13:00:00.000Z,46.0,4,0.384270064256,6,17,0,17,18,2.45895833333,0.234893349939,0.305504331277,0.144340645247,0.16116368603,0.282608695652
2017-01-01T13:00:00.000Z,46.0,3,0.0927661260658,63,56,0,56,82,2.63492063492,0.176761491598,0.463101485931,0.0,0.463101485931,0.130434782609
2017-01-01T13:00:00.000Z,46.0,2,0.191105928991,9,27,1,26,17,4.61333333333,0.424651384354,0.451768893148,0.39753387556,0.0542350175879,0.239130434783
